HotelName,Location
Anantara Uluwatu Bali Resort,"Jl Pemutih, Labuan Sait, Uluwatu, id, 80361 Uluwatu, Indonesia"
Sadara Resort,"Jl. Pratama, Nusa Dua, Bali, 80363 Nusa Dua, Indonesia"
"Sudamala Resort, Sanur, Bali","Jalan Sudamala No. 20, 80227 Sanur, Indonesia"
Melia Bali,"Kawasan Wisata ITDC Lot. 1, 80363 Nusa Dua, Indonesia"
Royal Kamuela Villas & Suites at Monkey Forest Ubud,"Jl. Monkey Forest, Bali, 80571 Ubud, Indonesia"
"The Oberoi Beach Resort, Bali","Seminyak Beach, Jalan Kayu Aya, 80033 Seminyak, Indonesia"
Sheraton Bali Kuta Resort,"Jalan Pantai Kuta, 80361 Kuta, Indonesia"
Kelapa Retreat & Spa,"Jalan Ngurah Rai, Pekutatan, 82262 Pulukan, Indonesia"
Gdas Bali Health and Wellness Resort,"Jalan Cempaka Mas, Ubud, 80571 Ubud, Indonesia"
Kupu Kupu Barong Villas and Tree Spa by L�OCCITANE,"Kedewatan PO BOX 7 80571, 80571 Ubud, Indonesia"
Kamandalu Ubud - CHSE Certified,"Jalan Andong, Banjar Nagi, 80571 Ubud, Indonesia"
Raffles Bali,"Jalan Karang Mas Sejahtera No 1A Jimbaran Bali, 80361 Jimbaran, Indonesia"
"The Laguna, A Luxury Collection Resort & Spa, Nusa Dua, Bali","Kawasan Pariwisata Nusa Dua Lot N2, PO.BOX 77, 80363 Nusa Dua, Indonesia"
The St. Regis Bali Resort,"Kawasan Pariwisata Nusa Dua Lot S6 PO.BOX 44, 80363 Nusa Dua, Indonesia"
The Kayon Jungle Resort,"Br. Bresela, Payangan, Ubud, Gianyar, Bali, 80572 Ubud, Indonesia"
Hyatt Regency Bali,"Jalan Danau Tamblingan 89,, 80228 Sanur, Indonesia"
Samabe Bali Suites & Villas,"Jl. Pura Barong-Barong, Sawangan, 80363 Nusa Dua, Indonesia"
The Tamarind Resort - Nusa Lembongan,"Jalan Jungutbatu, 80771 Nusa Lembongan, Indonesia"
M�venpick Resort & Spa Jimbaran Bali,"Jl. Wanagiri No. 1, 80362 Jimbaran, Indonesia"
Lelewatu Resort Sumba,"Jl. Lelewatu no. 168 Weimangoma, Kec. Wanokaka, 87272 Watukarere, Indonesia"
Canggu Cabana Resort By Ini Vie Hospitality,"Jl. Nelayan No.888A, Canggu, Kuta Utara, Badung, Bali, 80361 Canggu, Indonesia"
Jambuluwuk Convention Hall & Resort Puncak,"Jl. Raya Tapos no 63, Ciawi, 16720 Puncak, Indonesia"
Banyan Tree Bintan,"Jalan Teluk Berembang, Bintan, 29155 Lagoi, Indonesia"
Grand Seminyak - Lifestyle Boutique Bali Resort,"Jl. Abimanyu (Dhyana Pura), Bali, 80361 Seminyak, Indonesia"
Astera Resort Canggu by Ini Vie Hospitality,"Jalan Padang Lingjong, 80361 Canggu, Indonesia"
Komaneka at Tanggayuda Ubud,"Jl. Raya Tanggayuda, Banjar Tanggayuda, Ubud, 80571 Ubud, Indonesia"
Nandini Jungle by Hanging Gardens,"Banjar Susut, Desa Buahan, Payangan, Bali, 80572 Payangan, Indonesia"
tanadewa Resort Ubud Bali by Cross Collection,"Jalan Padang Getas, 80571 Ubud, Indonesia"
"InterContinental Bali Resort, an IHG Hotel","Jalan Uluwatu No 45, 80361 Jimbaran, Indonesia"
Meruorah Komodo Labuan Bajo,"Kawasan Marina Labuan Bajo, Jalan Soekarna Hatta, Manggarai Barat, NTT , 86711 Labuan Bajo, Indonesia"
Suarga Padang Padang,"Labuan Sait Rd. Br. Dinas Labuan Sait, Pecatu, Kuta Selatan, 80361 Uluwatu, Indonesia"
Renaissance Bali Uluwatu Resort & Spa,"Jalan Pantai Balangan 1 No 1, 80361 Uluwatu, Indonesia"
MERUSAKA Nusa Dua,"Kawasan Wisata Nusa Dua, Lot S3, 80363 Nusa Dua, Indonesia"
Chapung Sebali,"Jalan Raya Sebali, Banjar Sebali, Desa Keliki, Tegallalang, 80561 Ubud, Indonesia"
Padma Resort Ubud,"Banjar Carik, Desa Puhu ? Payangan, 80572 Payangan, Indonesia"
Maya Sanur Resort & Spa,"Jalan Danau Tamblingan No. 89M, 80228 Sanur, Indonesia"
RIMBA by AYANA Bali,"Karang Mas Estate, Jalan Karang Mas Sejahtera , Jimbaran, Bali, 80634 Jimbaran, Indonesia"
The Botanica Sanctuary,"Jalan Taman Safari 101, Kp. Baru Tegal, Desa Cibeureum, Cisarua - Bogor, 16750 Puncak, Indonesia"
"The Westin Resort Nusa Dua, Bali","PO Box 36 Nusa Dua, 80363 Nusa Dua, Indonesia"
Royal Tulip Springhill Resort Jimbaran,"Jl. Jimbaran Hijau Kelod, Badung, 80361 Jimbaran, Indonesia"
"Umana Bali, LXR Hotels & Resorts","Jl. Melasti, Banjar Kelod Ungasan, 80364 Uluwatu, Indonesia"
"Holiday Inn Resort Bali Nusa Dua, an IHG Hotel","Jl. Pratama no.86, Tanjung Benoa, 80363 Nusa Dua, Indonesia"
Adiwana Bisma,"Jl. Bisma, 80571 Ubud, Indonesia"
The Ungasan Clifftop Resort,"Jalan Pantai Selatan Gau Banjar Wijayakusuma, Ungasan, 80362 Uluwatu, Indonesia"
The Sanchaya,"Jalan Gurindam Duabelas, Plot 5, 29155 Lagoi, Indonesia"
Bisma Eight Villas,"Jl Bisma, ubud,, 80571 Ubud, Indonesia"
Plataran Borobudur,"Tanjungan Village, 55664 Borobudur, Indonesia"
Puri Wulandari A Boutique Resort & Spa - CHSE Certified,"Desa Kedewatan, 80571 Ubud, Indonesia"
MAUA Nusa Penida Bali,"Jalan Gamat Bay, Desa Sakti, Nusa Penida, 80771 Bali, 80771 Nusa Penida, Indonesia"
"The Lokha Ubud Resort, Villas & SPA","Jln Bangkiangsidem, Desa Keliki, Tegallalang, Ubud - Bali, 80561 Ubud, Indonesia"
Metland Venya Ubud,"Kelabang Moding Suite, 80561 Ubud, Indonesia"
Wapa di Ume Sidemen,"Banjar Dinas Tebola, Desa Sideman, 80864 Sidemen, Indonesia"
Sanglung Villas & Suites,"Banjar Dinas Sangglung, Desa Depeha , 81113 Kubutambahan, Indonesia"
"Mandapa, a Ritz-Carlton Reserve","Jalan Kedewatan, Banjar Kedewatan, 80571 Ubud, Indonesia"
Finna Golf & Country Club,"Jl. Raya Barsari, 67157 Prigen, Indonesia"
Aksari Resort Ubud by Ini Vie Hospitality,"Jl. Raya Desa Kenderan No.88x, 80561 Tegalalang, Indonesia"
Komaneka at Keramas Beach,"Jalan Prof. Dr. Ida Bagus Mantra, 80581 Keramas, Indonesia"
Kalandara Resort Lombok,"Jalan Raya Senggigi, 83355 Senggigi , Indonesia"
Tampah Hills,"Mekar Sari, Praya Barat, 83572 Selong Belanak, Indonesia"
Sanna Ubud A Pramana Experience,"Jalan Raya Tegalalang, Banjar Tengah ,Tegalalang Gianyar - Bali, 80561 Tegalalang, Indonesia"
Puri Sebali Resort,"Jalan Raya Sebali, Banjar Sebali, Tegalalang, 80571 Ubud, Indonesia"
Pramana Watu Kurung,"Jalan Batu Kurung IV, Banjar Bunutan, Kedewatan, 80571 Ubud, Indonesia"
Komaneka at Monkey Forest Ubud,"Jl. Monkey Forest, Ubud, 80571 Ubud, Indonesia"
Alila Ubud,"Desa Melinggih Kelod, Payangan, Gianyar, Bali, 80572 ?Ubud, Indonesia"
Le Meridien Bali Jimbaran,"Jalan Bukit Permai, 80361 Jimbaran, Indonesia"
Katamaran Hotel & Resort,"Jl. Raya Mangsit, 83355 Senggigi , Indonesia"
Courtyard by Marriott Bali Nusa Dua Resort,"Kawasan Pariwisata Lot SW1 , 80363 Nusa Dua, Indonesia"
Karma Kandara,"Jalan Villa Kandara, Banjar Wijaya Kusuma, 80362 Uluwatu, Indonesia"
Pullman Lombok Merujani Mandalika Beach Resort,"LOT BS2 Kawasan Ekonomi Khusus Mandalika Kelurahan Kuta Kecamatan Pujut, 83573 Kuta Lombok, Indonesia"
Bambu Indah,"Banjar Baung, Desa Sayan , 80571 Ubud, Indonesia"
Monolocale Resort Seminyak by Ini Vie Hospitality,"8 Jalan Umalas 1, 80361 Kerobokan, Indonesia"
Ibah,"Jalan Raya Campuhan, Bali, 80571 Ubud, Indonesia"
The Royal Beach Seminyak Bali,"Jl. Camplung Tanduk, Seminyak Beach, 80033 Seminyak, Indonesia"
The Trans Resort Bali,"Jalan Sunset Road, 80361 Seminyak, Indonesia"
"Nusa Dua Beach Hotel & Spa, Bali","Kawasan Pariwisata Nusa Dua, Lot North 4, 80363 Nusa Dua, Indonesia"
Bali Mandira Beach Resort & Spa,"Jl. Padma2 P.O.Box 1003, Bali, 80361 Legian, Indonesia"
Jumeirah Bali,"Jalan Raya Uluwatu Pecatu Kuta Selatan Kabupaten Badung, 80361 Uluwatu, Indonesia"
Adiwana Suweta,"Jalan Suweta, 80571 Ubud, Indonesia"
COMO Shambhala Estate,"Br Begawan, Desa Melinggih Kelod, , 80571 Payangan, Indonesia"
Nirjhara,"Jl. Nirjhara, Banjar Kedungu, Desa Belalang Kediri ? Tabanan, 82121, Bali ? Indonesia, 82121 Tabanan, Indonesia"
The Retreat at Kharista by Ekosistem,"No.21 Jalan Pantai Batu Mejan, 80351 Canggu, Indonesia"
Jambuluwuk Convention Hall & Resort Batu,"Jl. Trunojoyo 99, 65326 Batu, Indonesia"
"The Legian Seminyak, Bali","Jalan Kayu Aya, Bali, 80367 Seminyak, Indonesia"
"Hotel Indigo Bali Seminyak Beach, an IHG Hotel","Jalan Camplung Tanduk No.10 , 80361 Seminyak, Indonesia"
Viceroy Bali,"Jalan Lanyahan, Br. Nagi, 80571 ?Ubud, Indonesia"
"Jimbaran Puri, A Belmond Hotel, Bali","Jalan Uluwatu, 80361 Jimbaran, Indonesia"
Garrya Bianti Yogyakarta,"Jl. Gabugan Raya Pandowoharjo Sleman, 55512 Yogyakarta, Indonesia"
Semaya Beach Resort,"7J39+J3F, Suana, Nusa Penida, Klungkung Regency, Bali 80771, 80771 Nusa Penida, Indonesia"
Hotel Nikko Bali Benoa Beach,"Jl. Pratama No 68X, 80363 Nusa Dua, Indonesia"
Merumatta Senggigi Lombok,"Jalan Pantai Senggigi, PO BOX 1001, 83355 Senggigi , Indonesia"
Novus Giri Resort & Spa,"Jalan Sindanglaya Raya 180, 43253 Puncak, Indonesia"
The Alena Resort a Pramana Experience,"Banjar Silungan Desa Lod Tunduh, 80571 Ubud, Indonesia"
The Jing,"jl kayu dui banjar suka dharma, 81173 Tejakula, Indonesia"
Alila Seminyak,"Jalan Taman Ganesha no. 9, Petitenget, 80361 Seminyak, Indonesia"
COMO Uma Canggu,"Jalan Pantai Batu Mejan, 80361 Canggu, Indonesia"
"Tanah Gajah, a Resort by Hadiprana","Jl. Goa Gajah, Tengkulak Kaja, 80571 Ubud, Indonesia"
Pullman Bali Legian Beach,"1 Jalan Melasti, Bali, 80361 Legian, Indonesia"
The Singhasari Resort Batu,"Jl. Raya Beji 120, 65326 Batu, Indonesia"
Kappa Senses Ubud,"Banjar Tanggayuda, Jalan Tamansari, Kedewatan, Kecamatan Ubud, Gianyar - BALI, 80571 Ubud, Indonesia"
Ulu Segara Luxury Suites & Villas,"Jl. Raya Nusa Dua Selatan Desa Sawangan, 80363 Nusa Dua, Indonesia"
Six Senses Uluwatu,"Jalan Goa Lempeh, 80361 Uluwatu, Indonesia"
Visesa Ubud Resort,"Jl. Suweta, Banjar Bentuyung Sakti, Ubud, Gianyar, Bali, 80571 Ubud, Indonesia"
Qunci Villas Resort,"Jalan Raya Mangsit, 83355 Senggigi , Indonesia"
Munduk Moding Plantation Nature Resort,"Banjar Dinas Asah Gobleg Desa Gobleg Kecamatan Banjar Buleleng, 81152 Munduk, Indonesia"
"Natra Bintan, a Tribute Portfolio Resort","Treasure Bay Bintan, Jln Raya Haji, 29152 Lagoi, Indonesia"
W Bali - Seminyak,"Jl. Petitenget, 80361 Seminyak, Indonesia"
K Gallery Hotel,"Desa duren Sewu km3 Pandaan, Pasuruan, 67156 Pasuruan, Indonesia"
Ayung Resort Ubud,"Banjar Begawan, Desa Melinggih Kelod, Payangan, Ubud, Bali, Indonesia, 80572 Payangan, Indonesia"
Tanah Merah Art Resort,"Jalan Melayang, 80571 Ubud, Indonesia"
"SereS Springs Resort & Spa, Singakerta","Banjar Jukut Paku Singakerta, P.O. Box 2828, Ub, 80571 Ubud, Indonesia"
Sofitel Bali Nusa Dua Beach Resort,"Kawasan Pariwisata ITDC, Lot N5, Nusa Dua, Bali., 80363 Nusa Dua, Indonesia"
Grand Mirage Resort & Thalasso Bali,"Jl. Pratama No 74, Tanjung Benoa 80363 Nusa Dua - Bali, Indonesia, 80363 Nusa Dua, Indonesia"
Hanging Gardens of Bali,"Desa Buahan, Payangan, 80571 Payangan, Indonesia"
Lembongan Beach Club & Resort,"Jalan Jungut Batu Beach, Lembongan, 87500 Nusa Lembongan, Indonesia"
The Ayodya Palace,"Jalan Pantai Mengiat P.O Box 46, 80363 Nusa Dua, Indonesia"
Hilton Bali Resort,"Jl. Raya Nusa Dua Selatan, Bali, 80361 Nusa Dua, Indonesia"
The Royal Purnama - Adults Only,"Jalan Pantai Purnama, 80582 Keramas, Indonesia"
Maya Ubud Resort & Spa,"Jl. Gunung Sari Peliatan, PO BOX 1001, Bali, 80571 Ubud, Indonesia"
Alassari Plantation,"Jalan Arjuna, Br. Biyahan Desa Wanagiri, 82162 Selemadeg, Indonesia"
The Seminyak Beach Resort & Spa,"Jl. Kayu Aya, Bali, 80361 Seminyak, Indonesia"
"Sthala, A Tribute Portfolio Hotel, Ubud Bali","Jl. A.A Gede Rai, Mawang Kelod, Lodtunduh, 80582 Ubud, Indonesia"
Discovery Kartika Plaza Hotel,"Jl. Kartika Plaza, P.O Box 1012, South Kuta Beach, 80361 Kuta, Indonesia"
Hotel Le Temple Borobudur,"?Ds Bumisegoro, jalan sawah, 56553 Borobudur, Indonesia"
K Club Ubud,"Jalan Raya Cebok, 80561 Ubud, Indonesia"
Four Seasons Resort Bali at Sayan,"Sayan, 80571 Ubud, Indonesia"
REV?V? Wellness Resort Nusa Dua Bali,"Jl. Desa Sawangan, Kelurahan Benoa, Kec. Kuta Selatan, Badung Bali, 80361 Nusa Dua, Indonesia"
Bintang Bali Resort,"Jl Kartika Plaza P.O Box 1068, 80361 Kuta, Indonesia"
The Ning Resort Ubud,"Banjar Sala, Desa Pejeng Kawan, Kec. Tampaksiring, Pejeng Kawan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80552 Pejeng Kawan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80552, 80552 Ubud, Indonesia"
Kenran Resort Ubud By Soscomma,"Jalan Raya Desa Kenderan, Kec. Tegallalang, 80552 Ubud, Indonesia"
AYANA Resort Bali,"Karang Mas Estate, Jalan Karang Mas Sejahtera, 80364 Jimbaran, Indonesia"
Anema Wellness & Resort Gili Lombok - Diving Center PADI,"Jalan Pantai Sire, 83352 Tanjung, Indonesia"
"HOMM Saranam Baturiti, Bali","Jl. Raya Baturiti, Banjar Pacung, Desa Baturiti and Kecamatan Baturiti, 82191 Bedugul, Indonesia"
"Buahan, a Banyan Tree Escape","Banjar Selat, Buahan Kaja, 80572 Payangan, Indonesia"
Plataran Komodo Resort & Spa - CHSE Certified,"Waecicu Beach, Labuan Bajo, Manggarai Barat, 86511 Labuan Bajo, Indonesia"
The Mansion Resort Hotel & Spa,"Jl. Penestanan, Sayan, Bali, 80571 Ubud, Indonesia"
Sheraton Senggigi Beach Resort,"Jl. Raya Senggigi Km.8, 83355 Senggigi , Indonesia"
Cicada Luxury Resort - Ubud,"Jalan Raya Bilukan, 80561 Tegalalang, Indonesia"
Four Seasons Resort Bali at Jimbaran Bay,"Jimbaran Bay, 80361 Jimbaran, Indonesia"
Secana Beachtown,"Jalan Pemelisan Agung, 80363 Canggu, Indonesia"
Natya Resort Ubud,"Jl. Kelabang Moding, Suweta, 80571 Ubud, Indonesia"
The BK Village,"Jl. Umalas Klecung 200, Umalas 2, 80531 Seminyak, Indonesia"
Bali Niksoma Boutique Beach Resort,"Jalan Padma Utara, Legian Kaja, Bali, 80361 Legian, Indonesia"
"Sudamala Resort, Senggigi, Lombok","Jl. Raya Mangsit, 83355 Senggigi , Indonesia"
Komaneka at Bisma Ubud,"Jl. Bisma, Ubud, 80571 Ubud, Indonesia"
Hotel Tugu Lombok - CHSE Certified,"Jl Pantai Sire Desa Sigar Penjalin, Kecematan Tanjung, Lombok, 83352 Tanjung, Indonesia"
Padma Resort Legian,"Jln. Padma no.1 PO BOX 1107 TBB, 80361 Legian, Indonesia"
Conrad Bali,"Jalan Pratama 168, Tanjung Benoa, On the Coast of Nusa Dua, 80363 Nusa Dua, Indonesia"
The Ubud Village Resort & Spa,"Nyuh Kuning, Pengosekan, 80571 Ubud, Indonesia"
Montigo Resort Nongsa,"Jalan Hang Lekir, 29465 Nongsa, Indonesia"
The Apurva Kempinski Bali,"Jalan Raya Nusa Dua Selatan, Sawangan - 80361, 80361 Nusa Dua, Indonesia"
The Ritz-Carlton Bali,"Jalan Raya Nusa Dua Selatan Lot III, Sawangan, 80363 Nusa Dua, Indonesia"
"Capella Ubud, Bali","Jl. Raya Dalem, Banjar Triwangsa Desa Keliki, Kecamatan Tegallalang, 80561 Ubud, Indonesia"
Avani Seminyak Bali Resort,"Jl. Drupadi No.28, Seminyak, Kuta, Kabupaten Badung, Bali 80361 Jl. Drupadi No.28, Seminyak, Kuta, Kabupaten Badung, Bali 80361, 80361 Seminyak, Indonesia"
"Sudamala Resort, Seraya, Flores","Seraya Kecil Island, Komodo - East Nusa Tenggara, 86754 Labuan Bajo, Indonesia"
Royal Avila Boutique Resort,"Jalan Raya Senggigi, Malimbu, Lombok Utara, Nusa Tenggara Barat , 83355 Senggigi , Indonesia"
Hoshinoya Bali,"Br. Pengembungan,Desa Pejeng Kangin, 80552 Ubud, Indonesia"
Tejaprana Bisma - CHSE Certified,"Jalan Bisma, Ubud, Gianyar, Bali 80571, Indonesia, 80571 Ubud, Indonesia"
"Holiday Inn Resort Baruna Bali, an IHG Hotel","Jalan Wana Segara 33, 80361 Kuta, Indonesia"
Lv8 Resort Hotel,"Jln. Pantai Berawa No. 100xx, Tibubeneng, North Kuta, 80361 Canggu, Indonesia"
Bvlgari Resort Bali,"Jalan Goa Lempeh, Banjar Dinas Kangin, 80364 Uluwatu, Indonesia"
Lorin Solo Hotel,"Jalan Laksda Adisucipto No.47, 57174 Solo, Indonesia"
Golden Tulip Holland Resort Batu,"Jalan Chery No 10 Panderman Hills, 65314 Batu, Indonesia"
Kaamala Resort Ubud by Ini Vie Hospitality,"Jl. Bisma No 888x, 80571 Ubud, Indonesia"
Ubud Nyuh Bali Resort & Spa,"Jl. Raya Silungan, Lodtunduh, Kabupaten Gianyar, 80571 Ubud, Indonesia"
Seascape Resort Sanur by Ini Vie Hospitality-Adult Only,"88 Jalan Aruna, 80237 Sanur, Indonesia"
Jambuluwuk Oceano Gili Trawangan,"North Gili Trawangan, 83352 Gili Trawangan, Indonesia"
NIHI Sumba - member Leading Hotels of the World,"Desa Hobawawi, Kec. Wanokaka, West Sumba, 87272 Watukarere, Indonesia"
Anantara Ubud Bali Resort,"Banjar Puhu, Kecamatan Payangan,, 80572 Gianyar, Indonesia"
Pita Maha Resort & Spa,"Jalan Sanggingan, 80571 Ubud, Indonesia"
WakaGangga,"Desa Sudimara, Kecamatan Tabanan - Bali, 82151 Tabanan, Indonesia"
Nirwana Resort Hotel,"Jl. Panglima Pantar, Riau, Bintan Island, 29155 Lagoi, Indonesia"
Bali Tropic Resort & Spa - CHSE Certified,"P.O. Box. 41 Jl. Pratama 34A, 80363 Nusa Dua, Indonesia"
Wyndham Tamansari Jivva Resort Bali,"Jalan Subak Lepang no. 16, 80752 Keramas, Indonesia"
AYANA Komodo Waecicu Beach,"Pantai Waecicu Labuan Bajo, Komodo, 86554 Labuan Bajo, Indonesia"
Indra Maya Pool Villas,"Jalan Panglima Pantar, Lagoi, Nirwana Gardens, Bintan Resort, 29155 Lagoi, Indonesia"
COMO Uma Ubud,"Jl. Raya Sanggingan, Banjar Lungsiakan, Kedewatan, Bali, 80571 Ubud, Indonesia"
"The Oberoi Beach Resort, Lombok","Medana Beach, Tanjung, Lombok, 83352 Tanjung, Indonesia"
The Sakala Resort Bali All Suites,"Jalan Pratama 95 Tanjung Benoa, 80363 Nusa Dua, Indonesia"
The Crystal Luxury Bay Resort Nusa Dua,"Jalan By Pass I Gusti Ngurah Rai No. 88, 80363 Nusa Dua, Indonesia"
The Patra Bali Resort & Villas - CHSE Certified,"Jl. Ir. H Juanda, South Kuta Beach, 80361 Kuta, Indonesia"
Bali Dynasty Resort,"Jalan Kartika, Bali, 80361 Kuta, Indonesia"
Plataran Menjangan Resort and Spa - CHSE Certified,"West Bali National Park, Jl. Raya Seririt ? Gilimanuk, Gerokgak, Singaraja, Bali, 81155 Banyuwedang, Indonesia"
Ramayana Suites and Resort,"Singasari Street, Bali, 80361 Kuta, Indonesia"
Amarea Resort Ubud by Ini Vie Hospitality,"Jalan Sawah Indah No.8 Ubud, 80571 Ubud, Indonesia"
Seven Secrets by Hanging Gardens,"Jl. Raya Pemenang Km 10. Malimbu-II, Nipah Bay, Melaka, 83352 Senggigi , Indonesia"
Courtyard by Marriott Bali Seminyak Resort,"Jalan Camplung Tanduk (Dhyana Pura), No. 103 SP, 80361 Seminyak, Indonesia"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
